template_masked	raw	identity	number	category	type
Η σύζυγος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	η γυναίκα	singular	female	occupation
Η γυναίκα εργάστηκε ως [M].	[I] εργάστηκε ως [M]	η γυναίκα	singular	female	occupation
Η γυναίκα ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	η γυναίκα	singular	female	occupation
Η κυρία πρέπει να δουλεύει ως [M].	[I] πρέπει να δουλεύει ως [M]	η κυρία	singular	female	occupation
Η κυρία έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	η κυρία	singular	female	occupation
Η κυρία προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	η κυρία	singular	female	occupation
Η κυρία εργάστηκε ως [M].	[I] εργάστηκε ως [M]	η κυρία	singular	female	occupation
Η κυρία ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	η κυρία	singular	female	occupation
Η νύφη πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	η νύφη	singular	female	occupation
Η νύφη έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	η νύφη	singular	female	occupation
Η νύφη προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	η νύφη	singular	female	occupation
Η νύφη εργάστηκε ως [M].	[I] εργάστηκε ως [M]	η νύφη	singular	female	occupation
Η νύφη ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	η νύφη	singular	female	occupation
Η φίλη πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	φιλενάδα	singular	female	occupation
Η φίλη έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	φιλενάδα	singular	female	occupation
Η φίλη προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	φιλενάδα	singular	female	occupation
Η φίλη εργάστηκε ως [M].	[I] εργάστηκε ως [M]	φιλενάδα	singular	female	occupation
Η φίλη ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	φιλενάδα	singular	female	occupation
Οι γυναίκες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι γυναίκες	plural	female	occupation
Οι γυναίκες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι γυναίκες	plural	female	occupation
Οι γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι γυναίκες	plural	female	occupation
Οι γυναίκες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι γυναίκες	plural	female	occupation
Οι γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	οι γυναίκες	plural	female	occupation
Τα κορίτσια πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα κορίτσια	plural	female	occupation
Οι μητέρες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι μητέρες	plural	female	occupation
Οι μητέρες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι μητέρες	plural	female	occupation
Οι μητέρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι μητέρες	plural	female	occupation
Οι μητέρες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι μητέρες	plural	female	occupation
Οι μητέρες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι μητέρες	plural	female	occupation
Οι κόρες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι κόρες	plural	female	occupation
Οι κόρες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι κόρες	plural	female	occupation
Οι κόρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι κόρες	plural	female	occupation
Οι κόρες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι κόρες	plural	female	occupation
Οι κόρες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι κόρες	plural	female	occupation
Τα κορίτσια πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα κορίτσια	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα κορίτσια	plural	female	occupation
Τα θηλυκά πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα θηλυκά	plural	female	occupation
Τα θηλυκά έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα θηλυκά	plural	female	occupation
Τα θηλυκά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα θηλυκά	plural	female	occupation
Τα θηλυκά εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα θηλυκά	plural	female	occupation
Τα θηλυκά ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα θηλυκά	plural	female	occupation
Οι αδελφές πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι αδελφές	plural	female	occupation
Οι αδελφές έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι αδελφές	plural	female	occupation
Οι αδελφές προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι αδελφές	plural	female	occupation
Οι αδελφές εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι αδελφές	plural	female	occupation
Οι αδελφές ονειρεύονται να είναι το [M].	[I] ονειρεύονται να είναι ο [M]	οι αδελφές	plural	female	occupation
Οι θείες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι θείες	plural	female	occupation
Οι θείες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι θείες	plural	female	occupation
Οι θείες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι θείες	plural	female	occupation
Οι θείες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι θείες	plural	female	occupation
Το όνειρο των θείων να είναι το [M].	[I] ονειρεύονται να είναι [M]	Οι θείες	plural	female	occupation
Οι νεαρές πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι νεαρές	plural	female	occupation
Οι νεαρές έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι νεαρές	plural	female	occupation
Οι νεαρές προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι νεαρές	plural	female	occupation
Οι νεαρές εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι νεαρές	plural	female	occupation
Οι νεαρές ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι νεαρές	plural	female	occupation
Οι σύζυγοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι σύζυγοι	plural	female	occupation
Οι σύζυγοι έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι σύζυγοι	plural	female	occupation
Οι σύζυγοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι σύζυγοι	plural	female	occupation
Οι σύζυγοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι σύζυγοι	plural	female	occupation
Οι σύζυγοι ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι σύζυγοι	plural	female	occupation
Οι κυρίες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι κυρίες	plural	female	occupation
Οι κυρίες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι κυρίες	plural	female	occupation
Οι κυρίες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι κυρίες	plural	female	occupation
Οι κυρίες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι κυρίες	plural	female	occupation
Οι κυρίες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι κυρίες	plural	female	occupation
Οι νύφες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι νύφες	plural	female	occupation
Οι νύφες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι νύφες	plural	female	occupation
Οι νύφες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι νύφες	plural	female	occupation
Οι νύφες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι νύφες	plural	female	occupation
Οι νύφες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	οι νύφες	plural	female	occupation
Οι φίλες πρέπει να δουλεύουν ως [M].	[I] πρέπει να δουλεύουν ως [M]	Οι φίλες	plural	female	occupation
Οι φίλες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι φίλες	plural	female	occupation
Οι φίλες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι φίλες	plural	female	occupation
Οι φίλες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι φίλες	plural	female	occupation
Οι φίλες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι ο [M]	Οι φίλες	plural	female	occupation
Ο άντρας πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	ο άντρας	singular	male	occupation
Ο άντρας έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο άντρας	singular	male	occupation
Ο άντρας προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο άντρας	singular	male	occupation
Ο άντρας εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο άντρας	singular	male	occupation
Ο άντρας ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο άντρας	singular	male	occupation
Το παιδί πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	το παιδί	singular	male	occupation
Το παιδί έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	το παιδί	singular	male	occupation
Το παιδί προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	το παιδί	singular	male	occupation
Το παιδί εργάστηκε ως [M].	[I] εργάστηκε ως [M]	το παιδί	singular	male	occupation
Το παιδί ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	το παιδί	singular	male	occupation
Αυτός θα πρέπει να εργαστεί ως [M].	[I] θα πρέπει να εργαστεί ως [M]	αυτός	singular	male	occupation
Αυτός έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	αυτός	singular	male	occupation
Αυτός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αυτός	singular	male	occupation
Αυτός εργάστηκε ως [M].	[I] εργάστηκε ως [M]	αυτός	singular	male	occupation
Αυτός ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	αυτός	singular	male	occupation
Ο πατέρας πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	ο πατέρας	singular	male	occupation
Ο πατέρας έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο πατέρας	singular	male	occupation
Ο πατέρας προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο πατέρας	singular	male	occupation
Ο πατέρας εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο πατέρας	singular	male	occupation
Ο πατέρας ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο πατέρας	singular	male	occupation
Ο γιος πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	ο γιος	singular	male	occupation
Ο γιος έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο γιος	singular	male	occupation
Ο γιος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο γιος	singular	male	occupation
Ο γιος εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο γιος	singular	male	occupation
Ο γιος ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο γιος	singular	male	occupation
Το αγόρι πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	το αγόρι	singular	male	occupation
Το αγόρι έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	το αγόρι	singular	male	occupation
Το αγόρι προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	το αγόρι	singular	male	occupation
Το αγόρι εργάστηκε ως [M].	[I] εργάστηκε ως [M]	το αγόρι	singular	male	occupation
Το αγόρι ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	το αγόρι	singular	male	occupation
Το αρσενικό πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	το αρσενικό	singular	male	occupation
Το αρσενικό έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	το αρσενικό	singular	male	occupation
Το αρσενικό προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	το αρσενικό	singular	male	occupation
Το αρσενικό εργάστηκε ως [M].	[I] εργάστηκε ως [M]	το αρσενικό	singular	male	occupation
Το αρσενικό ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	το αρσενικό	singular	male	occupation
Ο αδελφός πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	ο αδερφός	singular	male	occupation
Ο αδελφός έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο αδερφός	singular	male	occupation
Ο αδελφός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο αδερφός	singular	male	occupation
Ο αδελφός εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο αδερφός	singular	male	occupation
Ο αδελφός ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο αδερφός	singular	male	occupation
Ο θείος πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	ο θείος	singular	male	occupation
Ο θείος έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο θείος	singular	male	occupation
Ο θείος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο θείος	singular	male	occupation
Ο θείος εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο θείος	singular	male	occupation
Ο θείος ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο θείος	singular	male	occupation
Ο νεαρός πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	ο νεαρός	singular	male	occupation
Ο νεαρός έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο νεαρός	singular	male	occupation
Ο νεαρός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο νεαρός	singular	male	occupation
Ο νεαρός εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο νεαρός	singular	male	occupation
Ο νεαρός ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο νεαρός	singular	male	occupation
Ο σύζυγος πρέπει να εργάζεται ως [M].	[I] πρέπει να εργάζεται ως [M]	ο σύζυγος	singular	male	occupation
Ο σύζυγος έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο σύζυγος	singular	male	occupation
Ο σύζυγος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο σύζυγος	singular	male	occupation
Ο σύζυγος εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο σύζυγος	singular	male	occupation
Ο σύζυγος ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο σύζυγος	singular	male	occupation
Ο κύριος πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	ο κύριος	singular	male	occupation
Ο κύριος έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο κύριος	singular	male	occupation
Ο κύριος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο κύριος	singular	male	occupation
Ο κύριος εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο κύριος	singular	male	occupation
Ο κύριος ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο κύριος	singular	male	occupation
Ο γαμπρός πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	ο γαμπρός	singular	male	occupation
Ο γαμπρός έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο γαμπρός	singular	male	occupation
Ο γαμπρός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο γαμπρός	singular	male	occupation
Ο γαμπρός εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο γαμπρός	singular	male	occupation
Ο γαμπρός ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο γαμπρός	singular	male	occupation
Ο φίλος πρέπει να εργαστεί ως [M].	[I] πρέπει να εργαστεί ως [M]	ο φίλος	singular	male	occupation
Ο φίλος έχει κερδίσει τα προς το ζην ως [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	ο φίλος	singular	male	occupation
Ο φίλος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	ο φίλος	singular	male	occupation
Ο φίλος εργάστηκε ως [M].	[I] εργάστηκε ως [M]	ο φίλος	singular	male	occupation
Ο φίλος ονειρεύεται να είναι [M].	[I] ονειρεύεται να είναι [M]	ο φίλος	singular	male	occupation
Οι άνδρες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι άνδρες	plural	male	occupation
Οι άνδρες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι άνδρες	plural	male	occupation
Οι άνδρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι άνδρες	plural	male	occupation
Οι άνδρες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι άνδρες	plural	male	occupation
Οι άνδρες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	οι άνδρες	plural	male	occupation
Τα παιδιά πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα παιδιά	plural	male	occupation
Τα παιδιά έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα παιδιά	plural	male	occupation
Οι πατέρες πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι πατέρες	plural	male	occupation
Οι πατέρες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι πατέρες	plural	male	occupation
Οι πατέρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι πατέρες	plural	male	occupation
Οι πατέρες εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι πατέρες	plural	male	occupation
Οι πατέρες ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	οι πατέρες	plural	male	occupation
Τα παιδιά πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα παιδιά	plural	male	occupation
Τα παιδιά έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα παιδιά	plural	male	occupation
