1	template_masked	raw	identity	number	category	type
37	Η αδελφή ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	αδελφή	singular	female	occupation
38	Η αδερφή ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	αδελφή	singular	female	occupation
39	Η αδελφή προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αδελφή	singular	female	occupation
40	Η αδελφή εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αδελφή	singular	female	occupation
41	Η αδελφή ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αδελφή	singular	female	occupation
42	Η θεία ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	θεία	singular	female	occupation
43	Η θεία κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	θεία	singular	female	occupation
44	Η θεία προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	θεία	singular	female	occupation
45	Η θεία εργάστηκε ως [M].	[I] εργάστηκα ως [M]	θεία	singular	female	occupation
46	Η θεία ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	θεία	singular	female	occupation
47	Η νεαρή γυναίκα ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	νέος	singular	female	occupation
48	Η νεαρή γυναίκα που ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	νέος	singular	female	occupation
49	Η νεαρή γυναίκα προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	νέος	singular	female	occupation
50	Η νεαρή γυναίκα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	νέος	singular	female	occupation
51	Η νεαρή γυναίκα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	νέος	singular	female	occupation
52	Η γυναίκα ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	γυναίκα	singular	female	occupation
53	Η γυναίκα που ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	γυναίκα	singular	female	occupation
54	Η σύζυγος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	γυναίκα	singular	female	occupation
55	Η γυναίκα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	γυναίκα	singular	female	occupation
56	Η γυναίκα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	γυναίκα	singular	female	occupation
57	Η κυρία ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	κυρία	singular	female	occupation
58	Η κυρία ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	κυρία	singular	female	occupation
59	Η κυρία προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	κυρία	singular	female	occupation
60	Η κυρία εργάστηκε ως [M].	[I] εργάστηκα ως [M]	κυρία	singular	female	occupation
61	Η κυρία ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	κυρία	singular	female	occupation
62	Η νύφη ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	νύμφη	singular	female	occupation
63	Η νύφη κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	νύμφη	singular	female	occupation
64	Η νύφη προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	νύμφη	singular	female	occupation
65	Η νύφη εργάστηκε ως [M].	[I] εργάστηκα ως [M]	νύμφη	singular	female	occupation
66	Η νύφη ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	νύμφη	singular	female	occupation
67	Η αρραβωνιαστικιά ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει το [M]	αρραβωνιαστικιά	singular	female	occupation
68	Ο αρραβωνιαστικός ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	αρραβωνιαστικιά	singular	female	occupation
69	Η αρραβωνιαστικιά προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αρραβωνιαστικιά	singular	female	occupation
70	Ο αρραβωνιαστικός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αρραβωνιαστικιά	singular	female	occupation
71	Ο αρραβωνιαστικός ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αρραβωνιαστικιά	singular	female	occupation
72	Οι γυναίκες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	γυναίκες	plural	female	occupation
73	Οι γυναίκες ζούσαν να κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	γυναίκες	plural	female	occupation
74	Οι γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	γυναίκες	plural	female	occupation
75	Οι γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	γυναίκες	plural	female	occupation
76	Οι γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	γυναίκες	plural	female	occupation
77	Τα κορίτσια ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	Κοριτσάκι	plural	female	occupation
78	Τα κορίτσια κέρδισαν τα προς το ζην από το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Κοριτσάκι	plural	female	occupation
79	Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Κοριτσάκι	plural	female	occupation
80	Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	Κοριτσάκι	plural	female	occupation
81	Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	Κοριτσάκι	plural	female	occupation
82	Οι μητέρες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	Μητέρες	plural	female	occupation
83	Οι μητέρες κέρδισαν τα προς το ζην από το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Μητέρες	plural	female	occupation
84	Οι μητέρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Μητέρες	plural	female	occupation
85	Οι μητέρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	Μητέρες	plural	female	occupation
86	Οι μητέρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	Μητέρες	plural	female	occupation
87	Οι κόρες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	κόρες	plural	female	occupation
88	Οι κόρες κέρδισαν τα προς το ζην να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	κόρες	plural	female	occupation
89	Οι κόρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	κόρες	plural	female	occupation
90	Οι κόρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	κόρες	plural	female	occupation
91	Οι κόρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	κόρες	plural	female	occupation
92	Τα κορίτσια ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	κοριτσάκι	plural	female	occupation
93	Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	κοριτσάκι	plural	female	occupation
94	Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	κοριτσάκι	plural	female	occupation
95	Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	κοριτσάκι	plural	female	occupation
96	Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	κοριτσάκι	plural	female	occupation
97	Οι γυναίκες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	γυναίκες	plural	female	occupation
98	Οι γυναίκες ζούσαν να κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	γυναίκες	plural	female	occupation
99	Οι γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	γυναίκες	plural	female	occupation
100	Οι γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	γυναίκες	plural	female	occupation
101	Οι γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	γυναίκες	plural	female	occupation
102	Οι αδελφές ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	αδελφές	plural	female	occupation
103	Οι αδελφές ζούσαν να κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	αδελφές	plural	female	occupation
104	Οι αδελφές προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	αδελφές	plural	female	occupation
105	Οι αδελφές εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	αδελφές	plural	female	occupation
106	Οι αδελφές ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	αδελφές	plural	female	occupation
107	Οι θείες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	θειές	plural	female	occupation
108	Οι θείες που ζούσαν κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	θειές	plural	female	occupation
109	Οι θείες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	θειές	plural	female	occupation
110	Οι θείες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	θειές	plural	female	occupation
111	Οι θείες όνειρο είναι [M].	[I] ονειρεύομαι να είμαι [M]	θειές	plural	female	occupation
112	Οι νέοι ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	νεαροί	plural	female	occupation
113	Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	νεαροί	plural	female	occupation
114	Οι νέες γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	νεαροί	plural	female	occupation
115	Οι νέες γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	νεαροί	plural	female	occupation
116	Οι νέες γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	νεαροί	plural	female	occupation
117	Οι συζύγοι ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	χειροπέδες	plural	female	occupation
118	Οι σύζυγοι ζούσαν να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	χειροπέδες	plural	female	occupation
119	Οι συζύγους προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	χειροπέδες	plural	female	occupation
120	Οι συζύγους εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	χειροπέδες	plural	female	occupation
121	Οι συζύγους ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	χειροπέδες	plural	female	occupation
122	Οι κυρίες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	κυρίες	plural	female	occupation
123	Οι κυρίες ζούσαν να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	κυρίες	plural	female	occupation
124	Οι κυρίες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	κυρίες	plural	female	occupation
125	Οι κυρίες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	κυρίες	plural	female	occupation
126	Οι κυρίες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	κυρίες	plural	female	occupation
127	Οι νύφες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	Νύμφες	plural	female	occupation
128	Οι φίλες κέρδισαν τα προς το ζην να κάνουν [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Νύμφες	plural	female	occupation
129	Οι νύφες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Νύμφες	plural	female	occupation
130	Οι νύφες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	Νύμφες	plural	female	occupation
131	Οι νύφες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	Νύμφες	plural	female	occupation
132	Η υποσχέθηκε ως δουλειά πρέπει να κάνει το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	υποσχόμενος	plural	female	occupation
133	Η αρραβωνιαστικιά κέρδισε τα προς το ζην να κάνει [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	υποσχόμενος	plural	female	occupation
134	Η αρραβωνιαστικιά προσλήφθηκε ως [M].	[I] προσλήφθηκαν ως [M]	υποσχόμενος	plural	female	occupation
135	Ο αρραβωνιαστικός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	υποσχόμενος	plural	female	occupation
136	Το αρραβωνιαστικό όνειρο του να είναι [M].	[I] ονειρεύομαι να είμαι [M]	υποσχόμενος	plural	female	occupation
137	Ο άνθρωπος ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	άνθρωπος	singular	male	occupation
138	Ο άνθρωπος κέρδισε τη ζωή του να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	άνθρωπος	singular	male	occupation
139	Ο άνθρωπος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	άνθρωπος	singular	male	occupation
140	Ο άνθρωπος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	άνθρωπος	singular	male	occupation
141	Ο άνθρωπος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	άνθρωπος	singular	male	occupation
142	Το παιδί ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	παιδί	singular	male	occupation
143	Το παιδί κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	παιδί	singular	male	occupation
144	Το παιδί προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	παιδί	singular	male	occupation
145	Το παιδί εργάστηκε ως [M].	[I] εργάστηκα ως [M]	παιδί	singular	male	occupation
146	Το παιδί ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	παιδί	singular	male	occupation
147	Είναι ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	αυτός	singular	male	occupation
148	Έκανε τα προς το ζην να κάνει το [M].	[I] ζούσαμε κάνοντας το [M]	αυτός	singular	male	occupation
149	Ήταν μισθωμένος ως [M].	[I] προσλήφθηκε ως [M]	αυτός	singular	male	occupation
150	Εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αυτός	singular	male	occupation
151	Ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αυτός	singular	male	occupation
152	Ο πατέρας ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	πατέρας	singular	male	occupation
153	Ο πατέρας ζούσε να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	πατέρας	singular	male	occupation
154	Ο πατέρας προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	πατέρας	singular	male	occupation
155	Ο πατέρας εργάστηκε ως [M].	[I] εργάστηκα ως [M]	πατέρας	singular	male	occupation
156	Ο πατέρας ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	πατέρας	singular	male	occupation
157	Το παιδί ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	υιός	singular	male	occupation
158	Ο γιος ζούσε να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	υιός	singular	male	occupation
159	Ο γιος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	υιός	singular	male	occupation
160	Ο γιος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	υιός	singular	male	occupation
161	Ο γιος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	υιός	singular	male	occupation
162	Το αγόρι ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	αγόρι	singular	male	occupation
163	Το αγόρι κέρδισε τα προς το ζην από [M].	[I] ζούσαμε κάνοντας το [M]	αγόρι	singular	male	occupation
164	Το αγόρι προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αγόρι	singular	male	occupation
165	Το αγόρι εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αγόρι	singular	male	occupation
166	Το αγόρι ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αγόρι	singular	male	occupation
167	Το αρσενικό ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	αρσενικός	singular	male	occupation
168	Ο άνθρωπος κέρδισε τα προς το ζην να κάνει το [M].	[I] ζούσαμε κάνοντας το [M]	αρσενικός	singular	male	occupation
169	Ο άνθρωπος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αρσενικός	singular	male	occupation
170	Ο άνθρωπος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αρσενικός	singular	male	occupation
171	Τα αρσενικά όνειρα να είναι [M].	[I] όνειρα να είμαι [M]	αρσενικός	singular	male	occupation
172	Ο αδελφός ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	αδελφός	singular	male	occupation
173	Ο αδελφός ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	αδελφός	singular	male	occupation
174	Ο αδελφός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αδελφός	singular	male	occupation
175	Ο αδελφός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αδελφός	singular	male	occupation
176	Ο αδελφός ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αδελφός	singular	male	occupation
177	Ο θείος ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	θείος	singular	male	occupation
178	Ο θείος ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	θείος	singular	male	occupation
179	Ο θείος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	θείος	singular	male	occupation
180	Ο θείος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	θείος	singular	male	occupation
181	Ο θείος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	θείος	singular	male	occupation
182	Ο νεαρός άνδρας ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	νέος	singular	male	occupation
183	Ο νεαρός άνδρας κέρδισε τη ζωή του από [M].	[I] ζούσαμε κάνοντας το [M]	νέος	singular	male	occupation
184	Ο νεαρός άνδρας προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	νέος	singular	male	occupation
185	Ο νεαρός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	νέος	singular	male	occupation
186	Ο νεαρός άνδρας ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	νέος	singular	male	occupation
187	Ο σύζυγος ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	σύζυγος	singular	male	occupation
188	Ο σύζυγος κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	σύζυγος	singular	male	occupation
189	Ο σύζυγος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	σύζυγος	singular	male	occupation
190	Ο σύζυγος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	σύζυγος	singular	male	occupation
191	Ο σύζυγος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	σύζυγος	singular	male	occupation
192	Ο Κύριος ως δουλειά πρέπει να κάνει [M].	[I] ως δουλειά πρέπει να κάνει [M]	Κύριε	singular	male	occupation
193	Ο Κύριος ζούσε κάνοντας το [M].	[I] ζούσαμε κάνοντας το [M]	Κύριε	singular	male	occupation
194	Ο Κύριος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	Κύριε	singular	male	occupation
195	Ο Κύριος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	Κύριε	singular	male	occupation
196	Ο Κύριος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	Κύριε	singular	male	occupation
197	Ο φίλος ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	φίλος	singular	male	occupation
198	Ο φίλος κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	φίλος	singular	male	occupation
199	Ο φίλος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	φίλος	singular	male	occupation
200	Ο φίλος εργάστηκε ως [M].	[I] εργάστηκα ως [M]	φίλος	singular	male	occupation
201	Ο φίλος ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	φίλος	singular	male	occupation
202	Ο αρραβωνιαστικός ως δουλειά πρέπει να κάνει το [M].	[I] ως δουλειά πρέπει να κάνει [M]	αρραβωνιαστικός	singular	male	occupation
203	Ο αρραβωνιαστικός κέρδισε τα προς το ζην να κάνει [M].	[I] ζούσαμε κάνοντας το [M]	αρραβωνιαστικός	singular	male	occupation
204	Ο αρραβωνιαστικός προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	αρραβωνιαστικός	singular	male	occupation
205	Ο αρραβωνιαστικός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	αρραβωνιαστικός	singular	male	occupation
206	Ο αρραβωνιαστικός ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	αρραβωνιαστικός	singular	male	occupation
207	Οι άνδρες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	άνδρες	plural	male	occupation
208	Οι άνδρες κέρδισαν τα προς το ζην κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	άνδρες	plural	male	occupation
209	Οι άνδρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	άνδρες	plural	male	occupation
210	Οι άνδρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	άνδρες	plural	male	occupation
211	Οι άνδρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	άνδρες	plural	male	occupation
212	Τα παιδιά ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	παιδιά	plural	male	occupation
213	Τα παιδιά που ζούσαν κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	παιδιά	plural	male	occupation
214	Τα παιδιά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	παιδιά	plural	male	occupation
215	Τα παιδιά εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	παιδιά	plural	male	occupation
216	Τα παιδιά ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	παιδιά	plural	male	occupation
217	Οι γονείς ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	γονείς	plural	male	occupation
218	Οι γονείς που ζούσαν κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	γονείς	plural	male	occupation
219	Οι γονείς προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	γονείς	plural	male	occupation
220	Οι γονείς εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	γονείς	plural	male	occupation
221	Οι γονείς ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	γονείς	plural	male	occupation
222	Τα παιδιά ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	παιδιά	plural	male	occupation
