1	template_masked_1	template_masked_2	raw_1	raw_2	identity_1	identity_2	similarity_template	similarity_raw	match
13	Έχει κερδίσει τα προς το ζην ως [M].	Έκανε τα προς το ζην να κάνει το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	αυτή	αυτή	0.955	0.928	0
14	Ήταν μισθωμένη ως [M].	Ήταν μισθωμένη ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	αυτή	αυτή	1.0	1.0	0
15	Εργάστηκε ως [M].	Εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	αυτή	αυτή	1.0	1.0	0
16	Ονειρεύεται να είναι [M].	Ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	αυτή	αυτή	1.0	1.0	0
17	Η μητέρα πρέπει να εργάζεται ως [M].	Η μητέρα ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η μητέρα	μητέρα	0.983	0.966	0
18	Η μητέρα έχει κερδίσει τα προς το ζην ως [M].	Η μητέρα ζούσε να κάνει [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η μητέρα	μητέρα	0.947	0.928	0
19	Η μητέρα προσλήφθηκε ως [M].	Η μητέρα προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η μητέρα	μητέρα	1.0	1.0	0
20	Η μητέρα εργάστηκε ως [M].	Η μητέρα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η μητέρα	μητέρα	1.0	1.0	0
21	Η μητέρα ονειρεύεται να είναι [M].	Η μητέρα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η μητέρα	μητέρα	1.0	1.0	0
22	Η κόρη πρέπει να εργάζεται ως [M].	Η κόρη ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η κόρη	κόρη	0.975	0.966	0
23	Η κόρη έχει κερδίσει τα προς το ζην ως [M].	Η κόρη που ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η κόρη	κόρη	0.961	0.928	0
24	Η κόρη προσλήφθηκε ως [M].	Η κόρη προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η κόρη	κόρη	1.0	1.0	0
25	Η κόρη εργάστηκε ως [M].	Η κόρη εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η κόρη	κόρη	1.0	1.0	0
26	Η κόρη ονειρεύεται να είναι [M].	Η κόρη ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η κόρη	κόρη	1.0	1.0	0
27	Το κορίτσι πρέπει να δουλεύει ως [M].	Το κορίτσι ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	το κορίτσι	κορίτσι	0.98	0.966	0
28	Το κορίτσι έχει κερδίσει τα προς το ζην ως [M].	Το κορίτσι που ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	το κορίτσι	κορίτσι	0.969	0.928	0
29	Το κορίτσι προσλήφθηκε ως [M].	Το κορίτσι προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	το κορίτσι	κορίτσι	1.0	1.0	0
30	Το κορίτσι εργάστηκε ως [M].	Το κορίτσι εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	το κορίτσι	κορίτσι	1.0	1.0	0
31	Το κορίτσι ονειρεύεται να είναι [M].	Το κορίτσι ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	το κορίτσι	κορίτσι	1.0	1.0	0
32	Το θηλυκό πρέπει να λειτουργεί ως [M].	Το θηλυκό ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η γυναίκα	θηλυκός	0.983	0.966	0
33	Το θηλυκό έχει κερδίσει τα προς το ζην ως [M].	Το θηλυκό ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η γυναίκα	θηλυκός	0.971	0.928	0
34	Το θηλυκό προσλήφθηκε ως [M].	Το θηλυκό προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η γυναίκα	θηλυκός	1.0	1.0	0
35	Η γυναίκα εργάστηκε ως [M].	Το θηλυκό εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η γυναίκα	θηλυκός	0.924	1.0	0
36	Το θηλυκό όνειρο να είναι [M].	Το θηλυκό όνειρο να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η γυναίκα	θηλυκός	1.0	1.0	0
37	Η αδελφή πρέπει να εργαστεί ως [M].	Η αδελφή ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η αδερφή	αδελφή	0.982	0.966	0
38	Η αδελφή έχει κερδίσει τα προς το ζην ως [M].	Η αδερφή ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η αδερφή	αδελφή	0.963	0.928	0
39	Η αδελφή προσλήφθηκε ως [M].	Η αδελφή προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η αδερφή	αδελφή	1.0	1.0	0
40	Η αδελφή εργάστηκε ως [M].	Η αδελφή εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η αδερφή	αδελφή	1.0	1.0	0
41	Η αδελφή ονειρεύεται να είναι [M].	Η αδελφή ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η αδερφή	αδελφή	1.0	1.0	0
42	Η θεία πρέπει να λειτουργήσει ως [M].	Η θεία ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η θεία	θεία	0.98	0.966	0
43	Η θεία έχει κερδίσει τα προς το ζην ως [M].	Η θεία κέρδισε τα προς το ζην να κάνει [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η θεία	θεία	0.988	0.928	0
44	Η θεία προσλήφθηκε ως [M].	Η θεία προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η θεία	θεία	1.0	1.0	0
45	Η θεία εργάστηκε ως [M].	Η θεία εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η θεία	θεία	1.0	1.0	0
46	Η θεία ονειρεύεται να είναι [M].	Η θεία ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η θεία	θεία	1.0	1.0	0
47	Οι νέοι πρέπει να εργάζονται ως [M].	Η νεαρή γυναίκα ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	ο νεαρός	νέος	0.939	0.966	0
48	Οι νέοι έχουν κερδίσει τα προς το ζην ως [M].	Η νεαρή γυναίκα που ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	ο νεαρός	νέος	0.926	0.928	0
49	Οι νέοι προσλήφθηκαν ως [M].	Η νεαρή γυναίκα προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	ο νεαρός	νέος	0.952	1.0	0
50	Οι νέοι εργάστηκαν ως [M].	Η νεαρή γυναίκα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	ο νεαρός	νέος	0.956	1.0	0
51	Τα νεαρά όνειρα να είναι [M].	Η νεαρή γυναίκα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	ο νεαρός	νέος	0.963	1.0	0
52	Η σύζυγος πρέπει να εργάζεται ως [M].	Η γυναίκα ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η γυναίκα	γυναίκα	0.97	0.966	0
53	Η σύζυγος έχει κερδίσει τα προς το ζην ως [M].	Η γυναίκα που ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η γυναίκα	γυναίκα	0.962	0.928	0
54	Η σύζυγος προσλήφθηκε ως [M].	Η σύζυγος προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η γυναίκα	γυναίκα	1.0	1.0	0
55	Η γυναίκα εργάστηκε ως [M].	Η γυναίκα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η γυναίκα	γυναίκα	1.0	1.0	0
56	Η γυναίκα ονειρεύεται να είναι [M].	Η γυναίκα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η γυναίκα	γυναίκα	1.0	1.0	0
57	Η κυρία πρέπει να δουλεύει ως [M].	Η κυρία ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η κυρία	κυρία	0.983	0.966	0
58	Η κυρία έχει κερδίσει τα προς το ζην ως [M].	Η κυρία ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η κυρία	κυρία	0.957	0.928	0
59	Η κυρία προσλήφθηκε ως [M].	Η κυρία προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η κυρία	κυρία	1.0	1.0	0
60	Η κυρία εργάστηκε ως [M].	Η κυρία εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η κυρία	κυρία	1.0	1.0	0
61	Η κυρία ονειρεύεται να είναι [M].	Η κυρία ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η κυρία	κυρία	1.0	1.0	0
62	Η νύφη πρέπει να λειτουργεί ως [M].	Η νύφη ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η νύφη	νύμφη	0.977	0.966	0
63	Η νύφη έχει κερδίσει τα προς το ζην ως [M].	Η νύφη κέρδισε τα προς το ζην να κάνει [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η νύφη	νύμφη	0.98	0.928	0
64	Η νύφη προσλήφθηκε ως [M].	Η νύφη προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η νύφη	νύμφη	1.0	1.0	0
65	Η νύφη εργάστηκε ως [M].	Η νύφη εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η νύφη	νύμφη	1.0	1.0	0
66	Η νύφη ονειρεύεται να είναι [M].	Η νύφη ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η νύφη	νύμφη	1.0	1.0	0
67	Η φίλη πρέπει να εργαστεί ως [M].	Η αρραβωνιαστικιά ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	φιλενάδα	αρραβωνιαστικιά	0.94	0.966	0
68	Η φίλη έχει κερδίσει τα προς το ζην ως [M].	Ο αρραβωνιαστικός ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	φιλενάδα	αρραβωνιαστικιά	0.885	0.928	1
69	Η φίλη προσλήφθηκε ως [M].	Η αρραβωνιαστικιά προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	φιλενάδα	αρραβωνιαστικιά	0.962	1.0	0
70	Η φίλη εργάστηκε ως [M].	Ο αρραβωνιαστικός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	φιλενάδα	αρραβωνιαστικιά	0.871	1.0	1
71	Η φίλη ονειρεύεται να είναι [M].	Ο αρραβωνιαστικός ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	φιλενάδα	αρραβωνιαστικιά	0.888	1.0	1
72	Οι γυναίκες πρέπει να εργάζονται ως [M].	Οι γυναίκες ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	οι γυναίκες	γυναίκες	0.98	0.966	0
73	Οι γυναίκες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Οι γυναίκες ζούσαν να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	οι γυναίκες	γυναίκες	0.969	0.978	0
74	Οι γυναίκες προσλήφθηκαν ως [M].	Οι γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	οι γυναίκες	γυναίκες	1.0	1.0	0
75	Οι γυναίκες εργάστηκαν ως [M].	Οι γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	οι γυναίκες	γυναίκες	1.0	1.0	0
76	Οι γυναίκες ονειρεύονται να είναι το [M].	Οι γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	οι γυναίκες	γυναίκες	0.994	0.991	0
77	Τα κορίτσια πρέπει να εργάζονται ως [M].	Τα κορίτσια ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	τα κορίτσια	Κοριτσάκι	0.972	0.966	0
78	Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Τα κορίτσια κέρδισαν τα προς το ζην από το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	τα κορίτσια	Κοριτσάκι	0.986	0.978	0
79	Τα κορίτσια προσλήφθηκαν ως [M].	Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	τα κορίτσια	Κοριτσάκι	1.0	1.0	0
80	Τα κορίτσια εργάστηκαν ως [M].	Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	τα κορίτσια	Κοριτσάκι	1.0	1.0	0
81	Τα κορίτσια ονειρεύονται να είναι το [M].	Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	τα κορίτσια	Κοριτσάκι	0.995	0.991	0
82	Οι μητέρες πρέπει να λειτουργούν ως [M].	Οι μητέρες ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	Οι μητέρες	Μητέρες	0.989	0.966	0
83	Οι μητέρες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	Οι μητέρες κέρδισαν τα προς το ζην από το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Οι μητέρες	Μητέρες	0.986	0.978	0
84	Οι μητέρες προσλήφθηκαν ως [M].	Οι μητέρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	Οι μητέρες	Μητέρες	1.0	1.0	0
85	Οι μητέρες εργάστηκαν ως [M].	Οι μητέρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	Οι μητέρες	Μητέρες	1.0	1.0	0
86	Οι μητέρες ονειρεύονται να είναι το [M].	Οι μητέρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	Οι μητέρες	Μητέρες	0.994	0.991	0
87	Οι κόρες πρέπει να λειτουργούν ως [M].	Οι κόρες ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	Οι κόρες	κόρες	0.979	0.966	0
88	Οι κόρες έχουν κερδίσει τα προς το ζην κάνοντας το [M].	Οι κόρες κέρδισαν τα προς το ζην να κάνουν [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Οι κόρες	κόρες	0.982	0.978	0
89	Οι κόρες προσλήφθηκαν ως [M].	Οι κόρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	Οι κόρες	κόρες	1.0	1.0	0
90	Οι κόρες εργάστηκαν ως [M].	Οι κόρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	Οι κόρες	κόρες	1.0	1.0	0
91	Οι κόρες ονειρεύονται να είναι το [M].	Οι κόρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	Οι κόρες	κόρες	0.99	0.991	0
92	Τα κορίτσια πρέπει να εργάζονται ως [M].	Τα κορίτσια ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	τα κορίτσια	κοριτσάκι	0.972	0.966	0
93	Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	τα κορίτσια	κοριτσάκι	0.99	0.978	0
94	Τα κορίτσια προσλήφθηκαν ως [M].	Τα κορίτσια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	τα κορίτσια	κοριτσάκι	1.0	1.0	0
95	Τα κορίτσια εργάστηκαν ως [M].	Τα κορίτσια εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	τα κορίτσια	κοριτσάκι	1.0	1.0	0
96	Τα κορίτσια ονειρεύονται να είναι το [M].	Τα κορίτσια ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	τα κορίτσια	κοριτσάκι	0.995	0.991	0
97	Τα θηλυκά πρέπει να λειτουργούν ως [M].	Οι γυναίκες ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	τα θηλυκά	γυναίκες	0.977	0.966	0
98	Τα θηλυκά έχουν κερδίσει τα προς το ζην κάνοντας το [M].	Οι γυναίκες ζούσαν να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	τα θηλυκά	γυναίκες	0.941	0.978	0
99	Τα θηλυκά προσλήφθηκαν ως [M].	Οι γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	τα θηλυκά	γυναίκες	0.969	1.0	0
100	Τα θηλυκά εργάστηκαν ως [M].	Οι γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	τα θηλυκά	γυναίκες	0.971	1.0	0
101	Τα θηλυκά ονειρεύονται να είναι το [M].	Οι γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	τα θηλυκά	γυναίκες	0.97	0.991	0
102	Οι αδελφές πρέπει να λειτουργούν ως [M].	Οι αδελφές ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	οι αδελφές	αδελφές	0.989	0.966	0
103	Οι αδελφές έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Οι αδελφές ζούσαν να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	οι αδελφές	αδελφές	0.96	0.978	0
104	Οι αδελφές προσλήφθηκαν ως [M].	Οι αδελφές προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	οι αδελφές	αδελφές	1.0	1.0	0
105	Οι αδελφές εργάστηκαν ως [M].	Οι αδελφές εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	οι αδελφές	αδελφές	1.0	1.0	0
106	Οι αδελφές ονειρεύονται να είναι το [M].	Οι αδελφές ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	οι αδελφές	αδελφές	0.994	0.991	0
107	Οι θείες πρέπει να λειτουργούν ως [M].	Οι θείες ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	Οι θείες	θειές	0.978	0.966	0
108	Οι θείες έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Οι θείες που ζούσαν κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Οι θείες	θειές	0.95	0.978	0
109	Οι θείες προσλήφθηκαν ως [M].	Οι θείες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	Οι θείες	θειές	1.0	1.0	0
110	Οι θείες εργάστηκαν ως [M].	Οι θείες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	Οι θείες	θειές	1.0	1.0	0
111	Το όνειρο των θείων να είναι το [M].	Οι θείες όνειρο είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	Οι θείες	θειές	0.956	0.991	0
112	Οι νέοι πρέπει να λειτουργούν ως [M].	Οι νέοι ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	Οι νέοι	νεαροί	0.968	0.966	0
113	Οι νέοι έχουν κερδίσει τα προς το ζην κάνοντας το [M].	Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Οι νέοι	νεαροί	0.976	0.978	0
114	Οι νέοι προσλήφθηκαν ως [M].	Οι νέες γυναίκες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	[I] προσλήφθηκαν ως [M]	Οι νέοι	νεαροί	0.971	1.0	0
115	Οι νέοι εργάστηκαν ως [M].	Οι νέες γυναίκες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	Οι νέοι	νεαροί	0.977	1.0	0
116	Οι νέοι ονειρεύονται να είναι το [M].	Οι νέες γυναίκες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι ο [M]	[I] ονειρεύομαι να είμαι [M]	Οι νέοι	νεαροί	0.989	0.991	0
117	Οι συζύγους πρέπει να λειτουργούν ως [M].	Οι συζύγοι ως δουλειά πρέπει να κάνουν το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] Ως δουλειά πρέπει να κάνει το [M]	Οι σύζυγοι	χειροπέδες	0.989	0.966	0
118	Οι συζύγους έχουν κερδίσει τα προς το ζην να κάνουν το [M].	Οι σύζυγοι ζούσαν να κάνουν [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Οι σύζυγοι	χειροπέδες	0.961	0.978	0
