template_masked	raw	identity	number	category	type
Η νύφη ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	νύμφη	singular	female	occupation
Η νύφη κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	νύμφη	singular	female	occupation
Η νύφη προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	νύμφη	singular	female	occupation
Η νύφη εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	νύμφη	singular	female	occupation
Η νύφη ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [m]	νύμφη	singular	female	occupation
Η αρραβωνιαστικιά ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	αρραβωνιαστικιά	singular	female	occupation
Ο αρραβωνιαστικός ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αρραβωνιαστικιά	singular	female	occupation
Η αρραβωνιαστικιά προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	αρραβωνιαστικιά	singular	female	occupation
Ο αρραβωνιαστικός εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αρραβωνιαστικιά	singular	female	occupation
Ο αρραβωνιαστικός ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αρραβωνιαστικιά	singular	female	occupation
Οι γυναίκες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	γυναίκες	plural	female	occupation
Οι γυναίκες ζούσαν να κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	γυναίκες	plural	female	occupation
Οι γυναίκες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	γυναίκες	plural	female	occupation
Οι γυναίκες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	γυναίκες	plural	female	occupation
Οι γυναίκες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	γυναίκες	plural	female	occupation
Τα κορίτσια ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	Κοριτσάκι	plural	female	occupation
Τα κορίτσια κέρδισαν τα προς το ζην από το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	Κοριτσάκι	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Κοριτσάκι	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Κοριτσάκι	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	Κοριτσάκι	plural	female	occupation
Οι μητέρες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	Μητέρες	plural	female	occupation
Οι μητέρες κέρδισαν τα προς το ζην από το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	Μητέρες	plural	female	occupation
Οι μητέρες προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Μητέρες	plural	female	occupation
Οι μητέρες εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Μητέρες	plural	female	occupation
Οι μητέρες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	Μητέρες	plural	female	occupation
Οι κόρες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	κόρες	plural	female	occupation
Οι κόρες κέρδισαν τα προς το ζην να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	κόρες	plural	female	occupation
Οι κόρες προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	κόρες	plural	female	occupation
Οι κόρες εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	κόρες	plural	female	occupation
Οι κόρες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	κόρες	plural	female	occupation
Τα κορίτσια ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	κοριτσάκι	plural	female	occupation
Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	κοριτσάκι	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	κοριτσάκι	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	κοριτσάκι	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	κοριτσάκι	plural	female	occupation
Οι γυναίκες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	γυναίκες	plural	female	occupation
Οι γυναίκες ζούσαν να κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	γυναίκες	plural	female	occupation
Οι γυναίκες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	γυναίκες	plural	female	occupation
Οι γυναίκες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	γυναίκες	plural	female	occupation
Οι γυναίκες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	γυναίκες	plural	female	occupation
Οι αδελφές ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	αδελφές	plural	female	occupation
Οι αδελφές ζούσαν να κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	αδελφές	plural	female	occupation
Οι αδελφές προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	αδελφές	plural	female	occupation
Οι αδελφές εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	αδελφές	plural	female	occupation
Οι αδελφές ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	αδελφές	plural	female	occupation
Οι θείες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	θειές	plural	female	occupation
Οι θείες που ζούσαν κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	θειές	plural	female	occupation
Οι θείες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	θειές	plural	female	occupation
Οι θείες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	θειές	plural	female	occupation
Οι θείες όνειρο είναι [m].	[I] ονειρεύομαι να είμαι [m]	θειές	plural	female	occupation
Οι νέοι ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	νεαροί	plural	female	occupation
Τα κορίτσια κέρδισαν τα προς το ζην να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	νεαροί	plural	female	occupation
Οι νέες γυναίκες προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	νεαροί	plural	female	occupation
Οι νέες γυναίκες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	νεαροί	plural	female	occupation
Οι νέες γυναίκες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	νεαροί	plural	female	occupation
Οι συζύγοι ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	χειροπέδες	plural	female	occupation
Οι σύζυγοι ζούσαν να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	χειροπέδες	plural	female	occupation
Οι συζύγους προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	χειροπέδες	plural	female	occupation
Οι συζύγους εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	χειροπέδες	plural	female	occupation
Οι συζύγους ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	χειροπέδες	plural	female	occupation
Οι κυρίες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	κυρίες	plural	female	occupation
Οι κυρίες ζούσαν να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	κυρίες	plural	female	occupation
Οι κυρίες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	κυρίες	plural	female	occupation
Οι κυρίες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	κυρίες	plural	female	occupation
Οι κυρίες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	κυρίες	plural	female	occupation
Οι νύφες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	Νύμφες	plural	female	occupation
Οι φίλες κέρδισαν τα προς το ζην να κάνουν [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	Νύμφες	plural	female	occupation
Οι νύφες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Νύμφες	plural	female	occupation
Οι νύφες εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Νύμφες	plural	female	occupation
Οι νύφες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	Νύμφες	plural	female	occupation
Η υποσχέθηκε ως δουλειά πρέπει να κάνει το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	υποσχόμενος	plural	female	occupation
Η αρραβωνιαστικιά κέρδισε τα προς το ζην να κάνει [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	υποσχόμενος	plural	female	occupation
Η αρραβωνιαστικιά προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκαν ως [m]	υποσχόμενος	plural	female	occupation
Ο αρραβωνιαστικός εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	υποσχόμενος	plural	female	occupation
Το αρραβωνιαστικό όνειρο του να είναι [m].	[I] ονειρεύομαι να είμαι [m]	υποσχόμενος	plural	female	occupation
Ο άνθρωπος ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	άνθρωπος	singular	male	occupation
Ο άνθρωπος κέρδισε τη ζωή του να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	άνθρωπος	singular	male	occupation
Ο άνθρωπος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	άνθρωπος	singular	male	occupation
Ο άνθρωπος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	άνθρωπος	singular	male	occupation
Ο άνθρωπος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	άνθρωπος	singular	male	occupation
Το παιδί ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	παιδί	singular	male	occupation
Το παιδί κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	παιδί	singular	male	occupation
Το παιδί προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	παιδί	singular	male	occupation
Το παιδί εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	παιδί	singular	male	occupation
Το παιδί ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	παιδί	singular	male	occupation
Είναι ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	αυτός	singular	male	occupation
Έκανε τα προς το ζην να κάνει το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αυτός	singular	male	occupation
Ήταν μισθωμένος ως [m].	[Εγώ] προσλήφθηκε ως [m]	αυτός	singular	male	occupation
Εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αυτός	singular	male	occupation
Ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αυτός	singular	male	occupation
Ο πατέρας ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	πατέρας	singular	male	occupation
Ο πατέρας ζούσε να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	πατέρας	singular	male	occupation
Ο πατέρας προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	πατέρας	singular	male	occupation
Ο πατέρας εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	πατέρας	singular	male	occupation
Ο πατέρας ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	πατέρας	singular	male	occupation
Το παιδί ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	υιός	singular	male	occupation
Ο γιος ζούσε να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	υιός	singular	male	occupation
Ο γιος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	υιός	singular	male	occupation
Ο γιος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	υιός	singular	male	occupation
Ο γιος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	υιός	singular	male	occupation
Το αγόρι ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	αγόρι	singular	male	occupation
Το αγόρι κέρδισε τα προς το ζην από [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αγόρι	singular	male	occupation
Το αγόρι προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	αγόρι	singular	male	occupation
Το αγόρι εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	αγόρι	singular	male	occupation
Το αγόρι ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αγόρι	singular	male	occupation
Το αρσενικό ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	αρσενικός	singular	male	occupation
Ο άνθρωπος κέρδισε τα προς το ζην να κάνει το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αρσενικός	singular	male	occupation
Ο άνθρωπος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	αρσενικός	singular	male	occupation
Ο άνθρωπος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	αρσενικός	singular	male	occupation
Τα αρσενικά όνειρα να είναι [m].	[I] όνειρα να είμαι [m]	αρσενικός	singular	male	occupation
Ο αδελφός ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	αδελφός	singular	male	occupation
Ο αδελφός ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αδελφός	singular	male	occupation
Ο αδελφός προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	αδελφός	singular	male	occupation
Ο αδελφός εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	αδελφός	singular	male	occupation
Ο αδελφός ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αδελφός	singular	male	occupation
Ο θείος ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	θείος	singular	male	occupation
Ο θείος ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	θείος	singular	male	occupation
Ο θείος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	θείος	singular	male	occupation
Ο θείος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	θείος	singular	male	occupation
Ο θείος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	θείος	singular	male	occupation
Ο νεαρός άνδρας ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	νέος	singular	male	occupation
Ο νεαρός άνδρας κέρδισε τη ζωή του από [M].	[Εγώ] ζούσαμε κάνοντας το [m]	νέος	singular	male	occupation
Ο νεαρός άνδρας προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	νέος	singular	male	occupation
Ο νεαρός εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	νέος	singular	male	occupation
Ο νεαρός άνδρας ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [m]	νέος	singular	male	occupation
Ο σύζυγος ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	σύζυγος	singular	male	occupation
Ο σύζυγος κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	σύζυγος	singular	male	occupation
Ο σύζυγος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	σύζυγος	singular	male	occupation
Ο σύζυγος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	σύζυγος	singular	male	occupation
Ο σύζυγος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	σύζυγος	singular	male	occupation
Ο Κύριος ως δουλειά πρέπει να κάνει [m].	[I] ως δουλειά πρέπει να κάνει [m]	Κύριε	singular	male	occupation
Ο Κύριος ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	Κύριε	singular	male	occupation
Ο Κύριος προσλήφθηκε ως [Μ].	[Εγώ] προσλήφθηκε ως [m]	Κύριε	singular	male	occupation
Ο Κύριος εργάστηκε ως [Μ].	[Εγώ εργάστηκα ως [m]	Κύριε	singular	male	occupation
Ο Κύριος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	Κύριε	singular	male	occupation
Ο φίλος ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	φίλος	singular	male	occupation
Ο φίλος κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	φίλος	singular	male	occupation
Ο φίλος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	φίλος	singular	male	occupation
Ο φίλος εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	φίλος	singular	male	occupation
Ο φίλος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	φίλος	singular	male	occupation
Ο αρραβωνιαστικός ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει [m]	αρραβωνιαστικός	singular	male	occupation
Ο αρραβωνιαστικός κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αρραβωνιαστικός	singular	male	occupation
Ο αρραβωνιαστικός προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	αρραβωνιαστικός	singular	male	occupation
Ο αρραβωνιαστικός εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αρραβωνιαστικός	singular	male	occupation
Ο αρραβωνιαστικός ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αρραβωνιαστικός	singular	male	occupation
Οι άνδρες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	άνδρες	plural	male	occupation
Οι άνδρες κέρδισαν τα προς το ζην κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	άνδρες	plural	male	occupation
Οι άνδρες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	άνδρες	plural	male	occupation
Οι άνδρες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	άνδρες	plural	male	occupation
Οι άνδρες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	άνδρες	plural	male	occupation
Τα παιδιά ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	παιδιά	plural	male	occupation
Τα παιδιά που ζούσαν κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	παιδιά	plural	male	occupation
Οι γονείς ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	γονείς	plural	male	occupation
Οι γονείς που ζούσαν κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	γονείς	plural	male	occupation
Οι γονείς προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	γονείς	plural	male	occupation
Οι γονείς εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	γονείς	plural	male	occupation
Οι γονείς ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	γονείς	plural	male	occupation
Τα παιδιά ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	παιδιά	plural	male	occupation
