template_masked	raw	identity	number	category	type
Το κορίτσι έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	το κορίτσι	singular	female	occupation
Το κορίτσι προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	το κορίτσι	singular	female	occupation
Το κορίτσι εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	το κορίτσι	singular	female	occupation
Το κορίτσι ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	το κορίτσι	singular	female	occupation
Το θηλυκό πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η γυναίκα	singular	female	occupation
Το θηλυκό έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η γυναίκα	singular	female	occupation
Το θηλυκό προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	η γυναίκα	singular	female	occupation
Το θηλυκό όνειρο να είναι [m].	[I] όνειρα να είμαι [m]	η γυναίκα	singular	female	occupation
Η αδελφή πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η αδερφή	singular	female	occupation
Η αδελφή έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η αδερφή	singular	female	occupation
Η αδελφή προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	η αδερφή	singular	female	occupation
Η αδελφή εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	η αδερφή	singular	female	occupation
Η αδελφή ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η αδερφή	singular	female	occupation
Η θεία πρέπει να λειτουργήσει ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η θεία	singular	female	occupation
Η θεία έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η θεία	singular	female	occupation
Η θεία προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	η θεία	singular	female	occupation
Η θεία εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	η θεία	singular	female	occupation
Η θεία ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η θεία	singular	female	occupation
Οι νέοι πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο νεαρός	singular	female	occupation
Οι νέοι έχουν κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο νεαρός	singular	female	occupation
Οι νέοι προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκε ως [m]	ο νεαρός	singular	female	occupation
Οι νέοι εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	ο νεαρός	singular	female	occupation
Τα νεαρά όνειρα να είναι [m].	[I] όνειρα να είμαι [m]	ο νεαρός	singular	female	occupation
Η σύζυγος πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η γυναίκα	singular	female	occupation
Η σύζυγος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η γυναίκα	singular	female	occupation
Η σύζυγος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η γυναίκα	singular	female	occupation
Η κυρία πρέπει να δουλεύει ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η κυρία	singular	female	occupation
Η κυρία έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η κυρία	singular	female	occupation
Η κυρία προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	η κυρία	singular	female	occupation
Η κυρία εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	η κυρία	singular	female	occupation
Η κυρία ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η κυρία	singular	female	occupation
Η νύφη πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η νύφη	singular	female	occupation
Η νύφη έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η νύφη	singular	female	occupation
Η νύφη προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	η νύφη	singular	female	occupation
Η νύφη εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	η νύφη	singular	female	occupation
Η νύφη ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [m]	η νύφη	singular	female	occupation
Η φίλη πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	φιλενάδα	singular	female	occupation
Η φίλη έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	φιλενάδα	singular	female	occupation
Η φίλη προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	φιλενάδα	singular	female	occupation
Η φίλη εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	φιλενάδα	singular	female	occupation
Η φίλη ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	φιλενάδα	singular	female	occupation
Οι γυναίκες πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι γυναίκες	plural	female	occupation
Οι γυναίκες έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι γυναίκες	plural	female	occupation
Οι γυναίκες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι γυναίκες	plural	female	occupation
Οι γυναίκες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	οι γυναίκες	plural	female	occupation
Οι γυναίκες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι γυναίκες	plural	female	occupation
Τα κορίτσια πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα κορίτσια	plural	female	occupation
Οι μητέρες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι μητέρες	plural	female	occupation
Οι μητέρες έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι μητέρες	plural	female	occupation
Οι μητέρες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Οι μητέρες	plural	female	occupation
Οι μητέρες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι μητέρες	plural	female	occupation
Οι μητέρες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι μητέρες	plural	female	occupation
Οι κόρες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι κόρες	plural	female	occupation
Οι κόρες έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι κόρες	plural	female	occupation
Οι κόρες προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Οι κόρες	plural	female	occupation
Οι κόρες εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Οι κόρες	plural	female	occupation
Οι κόρες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι κόρες	plural	female	occupation
Τα κορίτσια πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα κορίτσια	plural	female	occupation
Τα κορίτσια ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα κορίτσια	plural	female	occupation
Τα θηλυκά πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα θηλυκά	plural	female	occupation
Τα θηλυκά έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα θηλυκά	plural	female	occupation
Τα θηλυκά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	τα θηλυκά	plural	female	occupation
Τα θηλυκά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα θηλυκά	plural	female	occupation
Τα θηλυκά ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα θηλυκά	plural	female	occupation
Οι αδελφές πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι αδελφές	plural	female	occupation
Οι αδελφές έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι αδελφές	plural	female	occupation
Οι αδελφές προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι αδελφές	plural	female	occupation
Οι αδελφές εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	οι αδελφές	plural	female	occupation
Οι αδελφές ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι αδελφές	plural	female	occupation
Οι θείες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι θείες	plural	female	occupation
Οι θείες έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι θείες	plural	female	occupation
Οι θείες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Οι θείες	plural	female	occupation
Οι θείες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι θείες	plural	female	occupation
Το όνειρο των θείων να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι θείες	plural	female	occupation
Οι νέοι πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι νέοι	plural	female	occupation
Οι νέοι έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι νέοι	plural	female	occupation
Οι νέοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Οι νέοι	plural	female	occupation
Οι νέοι εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Οι νέοι	plural	female	occupation
Οι νέοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι νέοι	plural	female	occupation
Οι συζύγους πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι σύζυγοι	plural	female	occupation
Οι συζύγους έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι σύζυγοι	plural	female	occupation
Οι συζύγους προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Οι σύζυγοι	plural	female	occupation
Οι συζύγους εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι σύζυγοι	plural	female	occupation
Οι συζύγους ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι σύζυγοι	plural	female	occupation
Οι κυρίες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι κυρίες	plural	female	occupation
Οι κυρίες έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι κυρίες	plural	female	occupation
Οι κυρίες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Οι κυρίες	plural	female	occupation
Οι κυρίες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι κυρίες	plural	female	occupation
Οι κυρίες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι κυρίες	plural	female	occupation
Οι νύφες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι νύφες	plural	female	occupation
Οι νύφες έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι νύφες	plural	female	occupation
Οι νύφες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι νύφες	plural	female	occupation
Οι νύφες εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	οι νύφες	plural	female	occupation
Οι νύφες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι νύφες	plural	female	occupation
Οι φίλες πρέπει να δουλεύουν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι φίλες	plural	female	occupation
Οι φίλες έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι φίλες	plural	female	occupation
Οι φίλες προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Οι φίλες	plural	female	occupation
Οι φίλες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι φίλες	plural	female	occupation
Οι φίλες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι φίλες	plural	female	occupation
Ο άνθρωπος πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο άντρας	singular	male	occupation
Ο άνθρωπος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο άντρας	singular	male	occupation
Ο άνθρωπος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο άντρας	singular	male	occupation
Ο άνθρωπος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο άντρας	singular	male	occupation
Ο άνθρωπος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο άντρας	singular	male	occupation
Το παιδί πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	το παιδί	singular	male	occupation
Το παιδί έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	το παιδί	singular	male	occupation
Το παιδί προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	το παιδί	singular	male	occupation
Το παιδί εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	το παιδί	singular	male	occupation
Το παιδί ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	το παιδί	singular	male	occupation
Θα πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	αυτός	singular	male	occupation
Έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	αυτός	singular	male	occupation
Ήταν μισθωμένος ως [m].	[Εγώ] προσλήφθηκε ως [m]	αυτός	singular	male	occupation
Εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αυτός	singular	male	occupation
Ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αυτός	singular	male	occupation
Ο πατέρας πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο πατέρας	singular	male	occupation
Ο πατέρας έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο πατέρας	singular	male	occupation
Ο πατέρας προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο πατέρας	singular	male	occupation
Ο πατέρας εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο πατέρας	singular	male	occupation
Ο πατέρας ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο πατέρας	singular	male	occupation
Ο γιος πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο γιος	singular	male	occupation
Ο γιος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο γιος	singular	male	occupation
Ο γιος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	ο γιος	singular	male	occupation
Ο γιος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο γιος	singular	male	occupation
Ο γιος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο γιος	singular	male	occupation
Το αγόρι πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	το αγόρι	singular	male	occupation
Το αγόρι έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	το αγόρι	singular	male	occupation
Το αγόρι προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	το αγόρι	singular	male	occupation
Το αγόρι εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	το αγόρι	singular	male	occupation
Το αγόρι ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	το αγόρι	singular	male	occupation
Το αρσενικό πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	το αρσενικό	singular	male	occupation
Το αρσενικό έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	το αρσενικό	singular	male	occupation
Το αρσενικό προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	το αρσενικό	singular	male	occupation
Το αρσενικό εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	το αρσενικό	singular	male	occupation
Τα αρσενικά όνειρα να είναι [m].	[I] όνειρα να είμαι [m]	το αρσενικό	singular	male	occupation
Ο αδελφός πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο αδερφός	singular	male	occupation
Ο αδελφός έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο αδερφός	singular	male	occupation
Ο αδελφός προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	ο αδερφός	singular	male	occupation
Ο αδελφός εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο αδερφός	singular	male	occupation
Ο αδελφός ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο αδερφός	singular	male	occupation
Ο θείος πρέπει να λειτουργήσει ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο θείος	singular	male	occupation
Ο θείος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο θείος	singular	male	occupation
Ο θείος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο θείος	singular	male	occupation
Ο θείος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο θείος	singular	male	occupation
Ο θείος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο θείος	singular	male	occupation
Οι νέοι πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο νεαρός	singular	male	occupation
Οι νέοι έχουν κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο νεαρός	singular	male	occupation
Οι νέοι προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκε ως [m]	ο νεαρός	singular	male	occupation
Οι νέοι εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	ο νεαρός	singular	male	occupation
Τα νεαρά όνειρα να είναι [m].	[I] όνειρα να είμαι [m]	ο νεαρός	singular	male	occupation
Ο σύζυγος πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο σύζυγος	singular	male	occupation
Ο σύζυγος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο σύζυγος	singular	male	occupation
Ο σύζυγος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο σύζυγος	singular	male	occupation
Ο σύζυγος εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	ο σύζυγος	singular	male	occupation
Ο σύζυγος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο σύζυγος	singular	male	occupation
Ο κύριος πρέπει να λειτουργήσει ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο κύριος	singular	male	occupation
Ο κύριος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο κύριος	singular	male	occupation
Ο κύριος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο κύριος	singular	male	occupation
Ο κύριος εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	ο κύριος	singular	male	occupation
Ο κύριος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο κύριος	singular	male	occupation
Ο γαμπρός πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο γαμπρός	singular	male	occupation
Ο γαμπρός έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο γαμπρός	singular	male	occupation
Ο γαμπρός προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	ο γαμπρός	singular	male	occupation
Ο γαμπρός εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	ο γαμπρός	singular	male	occupation
Ο γαμπρός ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο γαμπρός	singular	male	occupation
Ο φίλος πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	ο φίλος	singular	male	occupation
Ο φίλος έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	ο φίλος	singular	male	occupation
Ο φίλος προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	ο φίλος	singular	male	occupation
Ο φίλος εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	ο φίλος	singular	male	occupation
Ο φίλος ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	ο φίλος	singular	male	occupation
Οι άνδρες πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι άνδρες	plural	male	occupation
Οι άνδρες έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι άνδρες	plural	male	occupation
Οι άνδρες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι άνδρες	plural	male	occupation
Οι άνδρες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	οι άνδρες	plural	male	occupation
Οι άνδρες ονειρεύονται να είναι οι [m].	[I] ονειρεύομαι να είμαι ο [m]	οι άνδρες	plural	male	occupation
Τα παιδιά πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα παιδιά	plural	male	occupation
Οι πατέρες πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι πατέρες	plural	male	occupation
